priority,content
Low,cop shoot dallas back boy blue nothing shoot fucking hate how stupid some people unreal 
Low,well now cop nothing either shoot murder dallas obama get want 
Low,nigga shoot build like aim ass dallas 
Low,thug use reason cause chaos amp commit crime now animal shoot cop dallas 
Low,shoot dallas rally against shooting wtf 
Low,riot against now re try make safe people shoot shooting 
Low,active shoot situation unfold during police protest confirm least one person shot 
Low,shoot cop dallas over thirty shot 
Low,shoot happen police blm dallas right now 
Low,shoot protest dallas report say police officer shot tension high 
Low,people shoot dallas police answer seriously 
Low,wth need shoot protest stop shooting 
Low,recent video awful revenge shooting police officer only make thing bad 
Low,take moment prayer shoot prayer all family now just now answer 
Low,blame cop shooting go wall wall protest all day just protect bad news 
Low,aw nigga shoot police ain go back dallas weekend 
Low,still refuse cover protestors shoot cop dallas hello 
Low,dallas amp police officer dallas nothing shooting 
Low,resort violence police officer undermines movement 
Low,dallas peep safe shoot downtown 
Low,shoot protest dallas shooter hang out lamar 
Low,dallas county community college may suspect 
Low,protest dallas people shoot police 
Low,dallas police may suspect pin down cornered listen live 
Low,hope whoever dallas fuck shoot themselves genitals before shoot themselves fucking face 
Low,cop shoot someone near dallas fault u get point black need take some responsibility 
Low,lawd get people shoot officer peaceful protest dallas 
Low,someone shooting protester dallas tx 
Low,shooting dallas black live matter protest right now 
Low,damn shoot dallas mean finna 
Low,shooting dallas right outside my building where work hopefully everyone stay safe 
Low,protest rally downtown dallas turn violent follow deadly officer involve shooting other city 
Low,shoot random cop seem like really sensible way protest bad cop 
Low,shoot possibly come park garage well would just too mess up 
Low,get out yoga hear shoot downtown dallas 
Low,hope everyone dallas shoot receives only prayer support love need get through country disorder 
Low,wonder how long take call gun control restrain after dallas cop shooting 
Low,shoot dallas right now all safe out 
Low,protester dallas right now shoot people very much part problem 
Low,shoot dallas stag draw attention comey throw hillary under bus 
Low,all story until hit your home dallas safe stay away downtown 
Low,peaceful protesting call shooting dallas lisa 
Low,shooting downtown dallas near green weenie aka story bank america plaza main st near lamar 
Low,holy shit multiple gunshot hear dallas protest march some people report two police officer shoot 
Low,america come just saw dallas shoot live first tragedy mn yesterday now heart break 
Low,please pay attention active shoot go dallas one protest all network dallas cover now 
Low,just shoot gps act funny didn turn 
Low,live news shooting dallas still stay your script why break news 
Low,dallas shoot via theolympianempire 
Low,get ta get off twitter shooting happen dallas forget how conservative racist texas 
Low,re dallas stay away grassy knoll 
Low,amp live compelling coverage shoot dallas protest 
Low,dallas protest crowd discourse panic after someone yell shoot 
Low,officer shoot dallas due riot 
Low,happen now dallas officer shoot other officer down active sniper parking garage shoot cop 
Low,shoot cw protest dallas tonight somebody start shoot above worried everyone 
Low,more condone all shoot cop than condone kill u situation ins dallas mess 
Low,reality don know shoot point 
Low,shoot police officer answer break my heart 
Low,police get shoot riot dallas shoot police good than protest against 
Low,unbelievable dallas shoot sniper skyscraper shoot everyone 
High,live shooting dallas go watch live stream ht 
Medium,report shot fire dallas police shooting protest via 
Low,how shoot cop dallas justice whatever may happen elsewhere 
Medium,news two police officer shoot dallas during protest over police shooting black men officer condition unknown 
Low,shoot protest dallas two police officer possibly shoot 
Low,yeah shoot dallas during protest cop shoot lay ground 
Low,shoot downtown dallas protest yikes dallas 
Low,obama hate monger narrative lead dallas officer shooting tonight 
Low,pray dallas cop shot just now during protest answer folk shoot cop isnt answer http 
Low,shot fire officer down dallas protest officer involve shooting across country report 
Low,get ta get off twitter shooting happen dallas forget how conservative racist texas 
Medium,officer shoot during protest over officer involve shooting 
Low,people awful shoot least cop dallas connection protest just plain awful praying ok 
Low,peaceful protesting call shooting dallas lisa 
High,live active shoot situation dallas blm protest person rifle shoot cop 
Critical,report shot fire during protest dallas over recent police shooting story follow 
Low,hurt hear dallas shoot why happen get rid hate why cant friend 
Medium,least one officer down downtown dallas after shot fire protest officer involve shooting across 
Critical,report shot fire downtown during march against deadly shooting police officer elsewhere https 
Low,me talk bout shoot police downtown dallas 
Low,hope safe all shooting dallas 
Low,thug use reason cause chaos amp commit crime now animal shoot cop dallas 
Low,hope catch shooter dallas wtf think accomplish shoot police officer prison worth 
Low,whoever shoot cop dallas right now re help cause any cause matter 
Low,shoot blm protest downtown dallas all please safe 
Low,dude building shooting cop dallas lee harvey oswald style wow 
Low,stop fucking shoot people breed more hate sick my stomach all death pray 
Low,fox news only cable channel cover shooting dallas police officer 
Low,dont cover racist shoot cop dallas fuck hypocrits 
Low,report shot fire during rally dallas against recent deadly police shooting 
Low,let all stop shoot people people 
High,dallas protest crowd discourse panic after someone yell shoot http 
Low,whoever shooter dallas shoot both police officer protester 
Low,prayer people officer involve downtown dallas shoot go right now 
Low,officer shoot dallas isn news worthy right 
Low,amazingly still cover sniper apparently shoot police dallas 
Low,smh shooting go right outside our apartment dallas wrong people 
Medium,multiple shot fire dallas police during shooting protest 
Medium,report police officer shoot downtown dallas 
Low,mindless shoot downtown dallas some idiot rifle shoot cop 
Low,people shoot police downtown dallas smh 
Low,god bless officer injure dallas tonight shooting downtown 
Low,interject himself into shoot implying now shoot want 
High,look like four cop ground dallas protest 
Low,officer shoot dallas shoot innocent cop nothing bring sympathy your cause just opposite 
Low,shot fire during dallas protest over police shooting 
Low,dallas re shoot across street protest people run everywhere 
Low,tv station report two police officer shoot during protest 
Critical,corner lamar commerce street near main st area interest 
High,again off feed confirm dallas pd two officer three shot 
Low,shoot minnesota amp new york last hour now another shoot dallas tx moment ago 
Low,well now cop nothing either shoot murder dallas obama get 
Low,two cop dallas nothing shooting last few day catch fire beyond bother 
Low,america need dallas bill golf phx where golf keep record 
Low,everyone stay fuck out downtown dallas tonight some crazy fuck gun shoot 
Low,police get shoot riot dallas shoot police good than protest agains 
Medium,police respond report shoot protest dallas texas 
Low,all dallas out protest police when people start shoot all run cop line up front 
Low,shoot dallas downtown during peaceful protest shot someone police hit 
Medium,shoot suspect actively pursue downtown dallas tx watch live fox news 
Medium,two officer down shoot dallas black life matter protest video via 
Low,fox news only network cover current shooting situation dallas 
Low,know dumb shoot someone else prove don deserve shot 
Low,america come just saw dallas shoot live first tragedy mn yesterday now 
Low,look like cont awesome rep cause chaos shoot cop how help 
Low,how shoot police dallas any city advance discourse where leader urge calm 
Low,liberal medium isn report dallas shooting 
Low,now dallas policeman shot make him target arsehole 
Low,ppl need shoot back maybe cop get picture uncivilised shoot ppl reason 
Low,snap chat break news dallas police shoot before cnn power social medium 
Low,news network even cover live shooting dallas 
Low,please stay safe tonight just shoot dt dallas please careful 
High,rest blame cop shooting wall wall coverage stokes violence 
Low,police officer shoot during peaceful protest downtown dallas re white police shoot black men protest info status 
Low,live coverage shoot downtown dallas now 
Low,live video ktvt tv dallas coverage protest shooting 
Low,damn bruh re shoot cop live tv smh 
Low,shoot police shoot protest dallas perhaps cop wounded watch live coverage 
Low,please pray our fallen officer dallas 
Low,more condone all shoot cop than condone kill u situation ins dallas mess 
Low,police officer shoot during anti police shoot rally dallas try solve shoot shoot 
Low,shoot cw protest dallas tonight somebody start shoot above worried everyon 
Low,just get real ugly dallas 
Low,due obama divisive speech tonight thank him shoot tonight dallas divide country incite hate 
High,listen dallas pd scanner two suspect red suburban camo shoot rifle police top building 
Medium,all out attack 
Low,some white people shoot protester rally 
Low,officer shoot dallas anti police shoot rally anti 
Low,two cop shoot dallas peaceful protest my 
Low,tune into kdoc now eyewitness news air coverage dallas shoot officer down 
Medium,peaceful protest dallas over recent police shooting just go violent when suspect shot policeman fire over round 
Low,cop shoot dallas protest how hell tht gunna help anything im sure tht cop nothing mn shooting 
Low,don understand why people protest like shooting happen right here dallas stay safe downtown dallas 
High,shooting downtown dallas protest happen right outside my dad fire station hear like gun shot scary 
Low,where shoot dallas avoid one my way here ball park 
Low,pray dallas right now 
Low,sniper shoot into crowd protesting dallas my word 
Low,shoot dallas protest apparently someone shot pastor cop shot 
Low,shoot cop solve fucking protest especially during suppose peaceful protest downtown dallas 
Low,wfaa dallas outstanding coverage shoot right now 
Low,catch up double cop shoot anti cop rally 
Low,shoot go dallas fuck sport dude 
Low,last time dallas airport fire now shooting take place world 
Low,someone shooting protest dallas man opposite should happen 
Low,report live shooting protest dallas texas solid info yet 
Low,ll give guess behind dallas cop shooting first don count should now open season blm 
Low,prediction cable news tomorrow fox dallas shooting obama amp blm fault msnbc ban gun cnn probably something plane 
Low,isn convenient hellary news cycle all dallas now demonstration shooting live tv 
Low,two officer shoot dallas during protest how shoot people protect u go solve anything 
Low,now people shoot cop downtown dallas complete opposite response need happen only make thing bad 
Low,shoot dallas watch live feed multiple police officer down work find out more info 
Low,someone just start shoot cop protest dallas shoot just happen 
Low,ever shooting cop dallas salute 
Low,alton sterling take away family now dallas people shoot cop protest protestors completely contradi 
Low,expect some purge type sh soon just shoot cop dallas 
Medium,cop down dallas active shooter rifle protest over shoot today 
Low,libs shoot cop dallas because cop shot man minneapolis turn mean when illegal mexiforni 
Low,reality don know shoot point 
Medium,stop now still very tense scene downtown 
Low,multiple police officer down man take rifle protest week shooting louisi 
Low,report shooting police officer dallas protest 
High,officer down large believe wear body armor 
Low,bro know dallas people out really shoot police omg up 
Low,even tryna funny idk why all think dallas wasn finna shoot shit dallas barely party without shoot shit 
Low,shoot police officer solve problem prayer dpd tonight 
High,sniper apparently shoot police dallas tx where fox news 
Low,wow dallas wow crazy day here lately shoot go right now down town all over news pray pray pray 
Low,support blm fuck jerk people randomly shoot cop dallas right now 
Low,shooting dallas take over 
Low,dem boyz dallas texas shoot police officer two down 
Low,respond shooting two police dallas 
Low,start shoot dallas because protest 
Low,why shoot police dallas happen peaceful protest 
Low,live coverage shoot downtown dallas during march 
Critical,dallas county community college suspect floor nw corner only swat officer approach 
Low,cop just get shoot prtoest against shooting great via 
Low,dallas affiliate report two officer shoot rally protest recent shooting 
Low,like all didn learn anything mlkjr method work good than malcom out here shoot cop joke movement 
Low,rally dallas end shoot hear right 
Low,re shoot protestors downtown dallas yo jesus come go pray 
Low,wonder go say shooting dallas protest also false flag probably 
Low,shoot dallas rally against shooting wtf 
Low,shoot down two cop dallas city nothing murder fuck dumb scream murder when shooter kill 
Low,report least cop shoot sniper fire 
Low,shoot police officer isn solve anything 
Low,re racist your comment today directly responsible shooting peace officer dallas 
Medium,happen now dallas officer shoot other officer down active sniper parking garage shoot cop http 
Medium,bank america dallas texas sniper shoot police officer building damn 
Low,shoot police dallas suppose 
Low,people shoot dallas police answer seriously 
Low,because anything 
Low,now shoot dallas wrong world 
Low,shoot progress during protest dallas 
Low,wan na know dumbass start shooting protest dallas need right now 
High,live dallas shoot 
Low,oh major shoot dallas right now say officer down 
Low,shooting after dallas europa 
Low,look hashtags beneath report shoot protest dallas want weep 
Low,cop just shoot dallas during protest rally over shoot people live tv 
Medium,re join our dallas station now live coverage police involve shoot during protest 
Low,where your coverage during 
Low,dallas shooting wrong other cop valid reason kill black men 
Low,should trouble now people shoot officer dallas during protest 
Low,well right now shoot dallas 
Low,shoot cop dallas blm march wozzgoinon 
Low,shoot cop isn go make good people 
Low,right winger blame president thoughtful remark dallas shooting absolute scum how roll 
Low,how shoot two police officer dallas bad cop other state make anything right re just bad 
Low,ok see shoot police officer isn exactly go help situation understand anger smart 
Medium,officer take defensive stance after shoot amid protest 
Low,obama say shooting symptom broad set racial disparity justice system incite violence 
Medium,more people speak out against shoot two black men police 
Low,report shot fire police shooting rally dallas two officer possibly shoot 
Low,instigator go public immediately condemn shooting dallas cop 
Low,look like only foxnews cover shoot right now msnbc show rerun cnn commercial 
Low,want protest go ahead your right shooting cop go make thing good 
High,dallas police check parking garage gunman active shooter situation after shoot during protest 
Low,dallas fox sure protest shoot min ago 
Low,how shameful guy win cover dallas shooting cop live 
Low,your thought dallas shoot right now mean come together 
Low,dallas police department nothing fatal shooting week 
Low,go tv now get all angry dallas police shoot win hold my breath 
Medium,dallas police officer shoot dallas rally search shooter report sniper shoot active scene 
High,unbelievable dallas shoot sniper skyscraper shoot everyone 
Low,break two dallas police officer shoot during protest result recent shooting hand law enforcement 
Low,dallas police shoot don sound right already might ploy something 
Low,trash all day cover story mile ahead cover shooting 
Low,shot fire dallas protest over recent police involve shooting baton rouge louisiana other 
Low,now leo shoot riot dallas re make bed contempt ll lay forever forever 
Medium,peaceful protest dallas police one shoot 
Low,shooting report protest dallas via 
Low,let yall know right now shooting dowmtown dallas minute ago rally 
Low,report now two police officer shoot protest dallas over recent police shooting 
Low,cnn amp msnbc report cop shoot dallas 
Low,shoot dallas right now all safe out 
Low,say pop corn amp praise shooting cop right now wonder make speech like pedo criminal 
Low,break shot report fire dallas thursday night during protest police shooting via cnn affiliate ktvt 
Low,shoot cop dallas now wypipo like 
Low,shooting dallas march doesnt suprise me all tell yall only matter time before ppl start shoot police 
Low,peaceful anti police shoot protest dallas result police officer shoot 
Low,too busy stoke racial flame cover police shoot dallas protest 
Low,say shooting cop may more serious problem 
Low,good protest until start shoot 
Low,police shoot protest go peacefully then gun shot ring out dallas cop shot show live tv shot people run 
Low,prayer officer shoot during protest 
Low,protest police shooting downtown dallas via 
Low,follow scene shoot dallas march hear shot now take cover 
Low,live video reporting shoot downtown dallas rally 
Low,just inform shooting downtown dallas protest rally safe just 
Low,wait obama response dallas shoot since officer shot political gain expect wait while 
Low,same black kill blame cop 
Low,apparently ppl shoot downtown dallas idk circumstance 
Low,little racist curmudgeon weren lie actually shoot dallas protest 
Low,aw nigga shoot police ain go back dallas weekend 
Low,how shoot officer dallas gon na solve anything doesn bring justice anyone 
Low,shooting police officer tonite dallas spur incendiary comment van jones charles blow gov dayton 
Low,why yall shoot cop dallas stop take step forward two step back 
Low,blood hand justify unrelated shooting shoot cop another city dallas protester should ashamed 
Low,annnnd now people shoot cop dallas crazy 
Low,wow just saw news shoot dallas police officer all stop unbelievable 
Medium,dallas police talk shoot suspect building 
Low,live stream shoot during dallas protest 
Low,democrat congress incite today hearing protest here dallas peaceful until shooting 
Low,anyone notice woman carry child right middle commotion gun shoot child endangerment 
Low,why people shoot cop dallas nothing even happen come now 
Medium,video dallas police respond sniper firing police officer during protest rally over shooting la mn 
Low,upset over why go out amp assault amp endanger more officer where more get shot 
Low,another shooting here dallas seriously hope nobody hurt god danmit just fuck restrict fucking gun 
Low,foxnews dallas shooting minute cnn 
Low,people get stop isn help break shot fire during protest dallas over recent shooting police 
Low,hey dallas shoot police police doesn solve issue 
Low,democrat cause shooting never let disarm 
Low,hey plan cover shooting cop 
Low,break cop shoot down dallas shooter rifle currently run shoot happen protest downtown 
Low,all shoot officer now cmon dallas 
Low,why would someone interupt peaceful protest shoot police officer dallas go accomplish 
Low,shoot cop dallas help situation never end cycle violence win solve anything just awful 
Low,people pathetic shoot people rifle fuck serious come dallas good than 
Low,cop shoot dallas hope my uncle work tonight ridiculous 
Low,woah retaliate fast shoot cop dallas 
Low,horrible situation dallas hear shot fire chaos protest against police shooting least 
Low,literally close shot tonight downtown dallas stand off between civilian cop shoot each other 
Low,rally across against police shooting protester new york st paul dallas elsew 
Low,now shoot dallas denton get crazy here move canada 
Low,shooting just happen completely breaks my heart violence never defeat violence 
Low,when shoot scene people need get hell out way 
Low,everyone please pray everyone involve dallas shoot 
Low,sorry hear police shooting dallas black life matter protest hold across country 
Low,wish all dallas safe just heard shoot 
Low,bet someone white start shoot dallas like bruh all don want problem 
Low,report shot fire dallas during protest shooting 
Low,prayer everyone safe dallas preliminary report someone rifle shoot police 
Low,understand re all infuriate shoot cop fuck answer two cop shoot dallas 
Low,shoot right around corner my crib downtown dallas sound like two cop shoot expect enough enough 
Low,whoever shoot police dallas need bring justice cldve easily shoot cause shooting peacefully 
Low,shoot sound like war zone just watch live video please pray officer now 
Low,damn downtown dallas live rn protest amp someone start shoot 
Low,fox news report police officer kill dallas riot don know go shooting all life matter 
High,shot downtown dallas near lamar commerce certain shooting now 
Low,shoot cop because re mad cop shot folk justify solution 
Low,watch peaceful protest dallas two officer just shot 
Low,shooter technically terrorist hate crime 
Low,how shoot cop dallas justice situation happen elsewhere make me sick 
Low,shoot cop make safer 
Low,now shoot rally dallas my friend dallas yesterday really scar me 
Low,actually hear police siren my place go downtown dallas shoot kinda scary 
Low,break police shoot dallas airport catch cell phone video 
Low,just get weird sex proposition thing uh oh dallas shoot 
Low,whoever shoot cop all apart reason why keep shoot our people when pull u over 
Low,whole dallas police shooting start much more stuff 
Low,just shoot my hometown hell america 
Low,apparently some young black men try stop dallas shoot police officer happy 
Low,shot fire dallas tonight pm central police officer down live coverage now 
Low,seat see all police light hear siren due send thought prayer 
Low,officer shoot downtown dallas protest shooting past few day don re 
Medium,active shooter dallas officer down 
Low,someone rifle shoot downtown dallas rally cuz man fuck 
Low,really think shoot two cop dallas go any good 
Low,peaceful protest dallas 
Low,live coverage dallas police shooting cdt while live scene seem one network cover all news 
Low,dallas police officer tell kdfw tv two officer shoot during protest over fatal shooting african american 
Low,soooo re shoot cop downtown dallas shit stupid isn solve anything 
Low,hi use ur video dallas news report shooting swedish public tv erik web reporter svtnyheter se 
Low,fnc more live shot officer position shoot area dallas 
Low,live video dallas shoot coverage 
Low,rip victim dallas orlando 
Low,white person shooting dallas 
Low,dallas why yall shooting protest 
Low,fact sniper shoot cop right now dallas just show exactly try get justice 
Low,re tell judge all muslim action few same should go cop 
Low,sound me like maybe sniper shoot park garage dallas history sniper 
Low,now shoot dallas america need wake up get out hand 
Low,obama trash u police national tv result sniper retaliate shoot policeman dallas texas 
Low,scene shoot protest dallas tonight officer shoot why police deserve our respect 
Low,protester kill two police officer dallas tx here go revolution arm yourselves 
Low,why protest dallas shooting didn happen dallas 
Low,now report shoot dallas protest ridiculous 
Low,re shoot police dallas smh all bad now 
Low,now finally cnn report shooting like minute later than scooped 
Low,please tell me how shooting police officer dallas solution current issue 
Low,just receive text little si protest here dallas amp shoot man rifle please pray 
Low,hard watch fox news only one report shooting cop dallas cnn drop ball 
Low,go all shooting 
Low,go protest start shoot officer shot downtown dallas 
Low,police probably shoot themselves dallas some blue life matter look u bs 
Low,president obama need speak out tonight regard situation dallas 
Low,shooting dallas obama fault rest solely shoulder police should stop protect him 
Low,just get preempt downtown dallas tx shoot cop down 
Low,tune cable update cop shoot during protest march officer family 
Low,cover dallas shoot right now 
Low,see some tweet re some shooting dallas report confirm 
Low,sincerely hope police officer dallas ok shoot anyone ok justify ignorance matter come 
Low,wonder current admin go condemn shooting dallas officer like cop shoot thug 
Low,day just get way worse connection all 
Low,shoot dallas lol too close home stay away my family 
Low,shooting baton rouge amp minnesota kill cop dallas 
Low,shoot cop breed more hatred win help matter 
Low,fox news coverage protest dallas cop shoot far cool shoot anyone 
Low,shoot two innocent dallas cop make everyone feel well now where logic 
Low,now minute into shooting news coverage except fnc local station twitter 
Low,two three officer see ground fox news broadcast after shoot dallas rally 
Medium,fuck nooo guy outrageous shoot dallas now 
Low,please pray dallas peaceful protest someone start shoot officer shot 
Low,follow excellent local coverage apparent shooting police officer dallas 
Low,my brother dallas rn church lockdown bc close shoot please keep him your prayer 
Low,cop gun down dallas god help u 
Low,oh shit my mom watch news shoot protest here dallas 
Low,dpd shoot break my heart baton rouge now heart alton sterling cvg peaceful here awful news dallas 
Medium,all guy parking garage long gun sound like sniper me 
Low,shoot dallas protest hmmmm very productive 
Low,please stop kill each other dallas mass shooting right now pray my city 
Low,dallas police shoot nite obama thug gang black live matter maybe out think possibility private war 
Low,dallas cop shoot protest recent shooting 
Low,one go remember community come together dallas protest just person ruin shoot police officer 
Low,ok ur gon na shoot dallas police officer over shoot didn even happen here make total sense 
Low,hour after obama address recent police shooting two police officer shoot dallas quite uniter 
Low,mass shooting dallas all careful 
Low,shoot innocent person over innocent person get shot make absolutely sense 
Low,protestors shoot cop dallas rot same hell corrupt cop kill people 
Low,abt like just happen dallas bc how innocent apparently shoot into crowd hmm 
Low,know shoot rally take step back detail before spread potentially false information 
Low,hope people realize shoot cop isn gon na solve anything all only make thing lot bad 
Low,channel josh stephen some great reporting downtown dallas shoot 
Low,shooting dallas protest yo america stop america goddamn hard right now shit 
Low,two police dead standoff dallas tx stem protest regard shooting men baton rouge 
Low,dallas police officer reportedly shoot during protest shoot police isn go help your cause 
Low,cnn even break news mode cop shooting dallas pathetic 
Medium,shoot downtown dallas peaceful march 
Low,active shooter shoot police dallas 
Low,happen dallas sickens me people should protest peace rather than shoot innocent cop when hate both way end 
Low,hell yea shoot back police dallas 
High,insanity deepens 
Low,re dallas tonight stay away downtown high building major shoot incident happen now stay safe 
Low,facebook video shooting dallas protest insane 
Low,pray our society doesn devolve into chaos god help u violence answer 
Low,report shooting dallas know condition officer hour 
Low,when ur dallas shoot happens protest downtown 
Low,fox news show live picture dallas when shooting happen post video 
Low,witness say whoever shoot use assault rifle 
Low,great shooting just go off dallas two police offer possibly dead fucking lovely 
Low,re dallas go any rally please please please keep safe re literally openly shoot 
Low,suspect shoot multi story park garage swat mobilizing 
Low,nigga shoot dallas get assault rifle bruh whoever playin 
Low,thousand people peacefully march tonight only thing ll cover shooting dallas hop officer ok 
Low,word our fearless leader shooting black male word two dallas cop shoot suck 
Low,shoot back dallas lol say fuck funny dammit karma 
Low,uh oh new shoot story develop dont know detail yet 
Low,here go breaking least three officer down after shoot downtown dallas texas fox news sh 
Low,dude wtf didn think shooting here 
Low,another shooting when put gun down talk through our problem 
Low,watch live feed station shooting march dallas thought 
Low,dallas try protest downtown shoot break out how crazy 
Low,all my dallas friends please safe tonight wary area shooting take place 
Low,where outrage over shooting police thug 
Low,almost sure evil person shoot just take advantage chaos nothing justice movement 
Low,sniper dallas top bank american building shoot police policeman shoot already 
Low,downtown dallas 
Low,active sniper dallas protest anti police shooting crazy 
Low,talk football shooting our leo dallas 
Low,yo shoot dallas get some money drop stock before open bell tomm hol up 
Low,shot fire downtown dallas during protest over shooting police black men louisiana 
Low,all white people speak shooting dallas uhh where sympathy last two day 
Low,protester shoot white officer dallas wonder why police scar when aren shoot cop each other 
Low,jesus christ amp ing sniper shoot cop dallas holy shit 
Low,re all angry hurt shoot officer help u progress guy get ta stay strong 
Low,crowd protestors seem grow march through 
Low,pray officer shoot dallas shoot officer answer 
Low,stay away tall building downtown dallas pd advise shoot report ugh 
Low,fox bad job ever initial coverage dallas shooting live footage active shoot megan kelley state win show 
Low,dallas shooter shoot cop protestors cop man sad 
Low,report two cop dead after shoot dallas rally 
Low,shoot protest dallas tonight leave just before happen safe 
Low,come shoot officer ignorance win make anything good 
Low,someone shoot cop dallas fuck dude 
Low,holy fuck someone shoot up march against police violence dallas 
Low,okay folk minute ago cop shoot dallas over cop shoot black men recent day 
Low,great idea shoot cop make much less target smdh 
Low,understand peaceful protest shoot two cop because cop kill black man correct way retaliate 
Low,dallas shooting police ayo fuck 
Low,dallas really shoot innocent cop rally promoting make turn into bullshit smart my people please 
Low,cop down dallas because stupidity shoot innocent people 
Low,just hear cnn reporter refer first source shoot tweet twitter century news 
Low,nothing say stop treat u like thug like shoot innocent people 
Low,wait comment shooting dallas leo 
Low,dallas report suggest assailant shooting two police fire build rifle officially unconfirmed 
Low,when police shoot dallas while protestors rally against black shooting all over amp one listen anymore 
Low,why fox only network cover dallas cop shoot wth wrong other horrible 
Low,apparently folk shoot careful everyone let kill each other please 
Low,just land dallas first thing see shoot downtown 
Low,please keep my friend your prayer still downtown dallas witness shooting 
Low,shoot downtown dallas cop report down wth 
Low,kill innocent police officer answer absolutely sick 
Low,protest dallas someone rifle shot two cop keep shoot 
Low,just look live tweet feel ill both tragedy happen rn insane hate speak 
Low,sniper shoot police dallas country crisis change come 
Low,real detail say shoot protest dallas 
Low,only matter time when somebody would start shoot police 
Low,pray dallas shooting get out hand again 
Low,shot dallas protest must use well judgment po stop shooting panic civilian stop shoot our po need maga 
Low,my country literally go crazy tonight believe dallas go help say sniper shooting cop 
Low,shoot officer dallas gon na anything help race relation civic servant relation 
Low,go down dallas heard sniper shoot cop shit brazy 
Low,shoot dallas need go home ima come get blood downtown oakland hella state away 
Low,how represent dallas bring attention case police involve shooting 
Low,ih my god shooting dallas tbe fuck og ky god my friwnds go 
Low,amp now fuck shoot cop dallas 
Low,shoot break out during downtown dallas protest two cop get shot twitter erupts video 
Low,eye witness say dude come out rifle shoot directly police diliberately protest 
Low,break news update shooting occur during protest dallas black live matter dart rail 
Low,surprise msm point out assault rifle use dallas shoot look call ban next don fall 
Low,dallas protestor live feed sound like assault rifle police shoot back handgun 
Low,freakin another shooting dallas now oh my gosh gun crap get out control really get tick 
Low,how extract change stop shooting cop help amp only perpetuate hate 
Low,shoot cop make anything well quite opposite fact 
Low,livestream downtown via protest police shooting downtown dallas lead allege shoot http 
Low,right now least officer shoot dallas report say officer work protest vigil after two shooting 
Low,downtown dallas shoot just happen think want world peace 
Low,hope show min segment dallas shoot tomorrow 
Low,shoot video over dozen shot fire graphic 
Low,shooting officer dallas your fault feel ashamed all folks call cop killing 
Low,people just shot innocent cop blacks protest wrongful shooting yet cause shooting hypocrite 
Low,all shoot cop nor ever move smart fam 
Low,come people shoot isn go solve anything 
Low,report possible sniper shooting protest downtown dallas 
Low,let wait all fact come light before make judgment dallas shoot 
Low,see lot different thing shoot go dallas see sniper few time 
Low,least one officer down during active shooting downtown protest 
Low,officer down dallas shoot dallas pd scanner traffic tense 
Low,all people dallas shoot while try get my pokestop 
Low,shoot dallas police officer accomplish nothing man feel sorry world lose people live rip one kill 
Low,really great live local affiliate coverage possible shooting dallas protest right now 
Low,dinner downtown dallas cop everywhere cause shoot just happen biggie 
Low,yoooo shooting kill cop ain answer fuck go dallas right now 
Low,watch live coverage report shot fire during police shoot rally dallas 
Low,dallas pd officer ambush during peaceful biracial demonstration over other city recent black shooting say potus 
Low,dear internet possible amp appropriate sadden shooting officer 
Low,dear barack obama plz rush closest microphone condemn shooting police wait wait 
Low,undoubtedly use dallas police shooting evidence argument aa violent 
Low,msnbc cover shooting dallas reporter nyc read thing off twitter try reporting guy 
Low,why people dallas shoot police durning protest come now send incorrect message 
Low,ridiculous shooting stop 
Low,medium already blame dallas shooting see how get 
Low,all life matter just black just white asian hispanic etc all life 
Low,least officer down after shoot downtown dallas 
Low,lynxie watch shoot dallas 
Low,protest downtown dallas result shoot accord report two police officer 
Low,feel victim family shooting kill police officer though wrong need come together divide 
Low,wonder ll address shooting two innocent police officer dallas all live matter need respect 
Low,feel like today news horrible nightmare 
Low,msnbc talk may sniper downtown dallas shoot only police just beginning 
Low,active shoot situation dallas demonstration stay safe everyone 
Low,break ap multiple medium outlet report shot fire dallas protest over two recent fatal police shooting 
Low,hell report without verification shooting minnesota amp louisiana dallas tx bullsh 
Low,people protest dallas recent shooting now shot fire here violence answer people 
Low,yo dallas shoot cop aint go fix problem fuck coon 
Low,shoot dallas blm protest right already blame obama blm lot shot man rifle officer shoot 
Low,how help your cause doesn bring any sympathy your way 
Low,wow some protester march rifle totally legal when shooting dallas happen lucky didn get much bad 
Low,kinda crazy dallas shoot coverage only one channel 
Low,outrage machine gear up light shooting dallas effectively take coverage away core issue 
Low,downtown dallas shooting mere block my apartment never see many cop respond prayer police 
Low,case point unconfirmed report dallas sniper shooting police during protest tx open carry where gun put before life 
Medium,suspect corner second floor el centro college 
Low,don say shooting dallas fuck justified cause sterling fuck idiot 
Low,oh my heaven just briefly mention shooting dallas barely mention all over 
Low,told yall protest shooting look raw feed naked eye cont 
Low,eye witness shooting dallas saw everything ain tell shit 
Low,hate breed hate violence breed violence hope cool head prevail 
Low,re protest unjust wrongful police shoot against civilian why would same thing make sense 
Low,crowd out shoot police officer dallas go long summer folk 
Low,tune late update throughout hour shooting protest 
Low,amaze shoot dallas interview guy say knew few guy here rifle should give cop 
Low,shooting after protest accord local dallas news 
Low,now negro downtown dallas shoot cop because incident lmao don upset when cop shoot up another negro 
Low,shoutout nigga dallas shooting cop love fam 
